game_id,date,game_time,team_away,team_home,venue,game_type,status,home_score,away_score
778869,2025-02-20,2025-02-20T20:05:00Z,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,S,Final,4,12
779055,2025-02-21,2025-02-21T18:05:00Z,Tampa Bay Rays,New York Yankees,George M. Steinbrenner Field,S,Final,4,0
778780,2025-02-21,2025-02-21T18:05:00Z,Northeastern Huskies,Boston Red Sox,JetBlue Park,E,Final,5,2
778760,2025-02-21,2025-02-21T20:05:00Z,Los Angeles Dodgers,Chicago Cubs,Sloan Park,S,Final,7,3
778949,2025-02-21,2025-02-21T20:05:00Z,Texas Rangers,Kansas City Royals,Surprise Stadium,S,Final,5,2
787940,2025-02-21,2025-02-21T20:10:00Z,Colorado Rockies,Arizona Diamondbacks,Salt River Fields at Talking Stick,S,Final,8,12
788017,2025-02-21,2025-02-21T20:10:00Z,Seattle Mariners,San Diego Padres,Peoria Stadium,S,Final,5,2
778740,2025-02-22,2025-02-22T18:05:00Z,Washington Nationals,Houston Astros,CACTI Park of the Palm Beaches,S,Final,3,6
779135,2025-02-22,2025-02-22T18:05:00Z,Pittsburgh Pirates,Baltimore Orioles,Ed Smith Stadium,S,Final,5,10
778977,2025-02-22,2025-02-22T18:05:00Z,Boston Red Sox,Tampa Bay Rays,Charlotte Sports Park,S,Final,4,6
779117,2025-02-22,2025-02-22T18:05:00Z,Philadelphia Phillies,Detroit Tigers,Publix Field at Joker Marchant Stadium,S,Final,7,6
778880,2025-02-22,2025-02-22T18:05:00Z,Atlanta Braves,Minnesota Twins,Lee Health Sports Complex,S,Final,3,1
778963,2025-02-22,2025-02-22T18:07:00Z,New York Yankees,Toronto Blue Jays,TD Ballpark,S,Final,6,4
778898,2025-02-22,2025-02-22T18:10:00Z,Houston Astros,New York Mets,Clover Park,S,Final,6,2
779087,2025-02-22,2025-02-22T18:10:00Z,St. Louis Cardinals,Miami Marlins,Roger Dean Chevrolet Stadium,S,Final,7,6
778840,2025-02-22,2025-02-22T20:05:00Z,Cleveland Guardians,Cincinnati Reds,Goodyear Ballpark,S,Final,6,3
778867,2025-02-22,2025-02-22T20:05:00Z,Kansas City Royals,Los Angeles Dodgers,Camelback Ranch,S,Final,10,11
778944,2025-02-22,2025-02-22T20:05:00Z,San Francisco Giants,Texas Rangers,Surprise Stadium,S,Final,1,6
778757,2025-02-22,2025-02-22T20:05:00Z,Chicago White Sox,Chicago Cubs,Sloan Park,S,Final,7,3
778808,2025-02-22,2025-02-22T20:10:00Z,Arizona Diamondbacks,Colorado Rockies,Salt River Fields at Talking Stick,S,Final,9,3
779026,2025-02-22,2025-02-22T20:10:00Z,Athletics,San Diego Padres,Peoria Stadium,S,Final,10,3
779162,2025-02-22,2025-02-22T20:10:00Z,Seattle Mariners,Los Angeles Angels,Tempe Diablo Stadium,S,Final,11,10
779103,2025-02-22,2025-02-22T20:10:00Z,Cincinnati Reds,Milwaukee Brewers,American Family Fields of Phoenix,S,Final,8,7
778742,2025-02-23,2025-02-23T18:05:00Z,New York Mets,Washington Nationals,CACTI Park of the Palm Beaches,S,Final,11,6
779085,2025-02-23,2025-02-23T18:05:00Z,Houston Astros,St. Louis Cardinals,Roger Dean Chevrolet Stadium,S,Final,6,11
778778,2025-02-23,2025-02-23T18:05:00Z,Toronto Blue Jays,Boston Red Sox,JetBlue Park,S,Final,7,8
779039,2025-02-23,2025-02-23T18:05:00Z,Minnesota Twins,Pittsburgh Pirates,LECOM Park,S,Final,5,1
778915,2025-02-23,2025-02-23T18:05:00Z,Baltimore Orioles,Philadelphia Phillies,BayCare Ballpark,S,Final,3,7
778705,2025-02-23,2025-02-23T18:05:00Z,Tampa Bay Rays,Atlanta Braves,CoolToday Park,S,Final,2,4
779054,2025-02-23,2025-02-23T18:05:00Z,Detroit Tigers,New York Yankees,George M. Steinbrenner Field,S,Final,0,4
778897,2025-02-23,2025-02-23T18:10:00Z,Miami Marlins,New York Mets,Clover Park,S,Final: Tied,1,1
778842,2025-02-23,2025-02-23T20:05:00Z,Los Angeles Angels,Cleveland Guardians,Goodyear Ballpark,S,Final,14,2
779143,2025-02-23,2025-02-23T20:05:00Z,Colorado Rockies,Athletics,Hohokam Stadium,S,Final,4,0
778864,2025-02-23,2025-02-23T20:05:00Z,San Diego Padres,Los Angeles Dodgers,Camelback Ranch,S,Final,8,3
778993,2025-02-23,2025-02-23T20:05:00Z,Cincinnati Reds,San Francisco Giants,Scottsdale Stadium,S,Final,5,2
778755,2025-02-23,2025-02-23T20:05:00Z,Texas Rangers,Chicago Cubs,Sloan Park,S,Final,6,5
778941,2025-02-23,2025-02-23T20:05:00Z,Chicago White Sox,Kansas City Royals,Surprise Stadium,S,Final,4,3
779020,2025-02-23,2025-02-23T20:10:00Z,Arizona Diamondbacks,Seattle Mariners,Peoria Stadium,S,Final,11,5
778807,2025-02-23,2025-02-23T20:10:00Z,Milwaukee Brewers,Colorado Rockies,Salt River Fields at Talking Stick,S,Final,6,1
